trip_date,rider_type,trips,revenue
2026-04-01,member,3,13.85
2026-04-01,visitor,2,33.13
2026-04-02,member,2,10.76
2026-04-02,visitor,2,25.88
2026-04-03,member,2,8.35
2026-04-04,member,2,8.34
2026-04-04,visitor,1,12.08
2026-04-05,member,2,12.56
2026-04-05,visitor,2,30.54
2026-04-06,member,2,10.06
2026-04-07,member,2,10.25
2026-04-07,visitor,1,10.29
2026-04-08,member,2,11.75
2026-04-08,visitor,2,29.4
2026-04-09,member,3,14.57
2026-04-09,visitor,1,17.48
2026-04-10,member,2,8.65
2026-04-10,visitor,1,10.2
2026-04-11,member,2,8.52
2026-04-11,visitor,2,30.25
2026-04-12,member,3,13.0
2026-04-12,visitor,1,17.74
2026-04-13,member,2,8.79
2026-04-14,member,2,8.21
2026-04-14,visitor,1,13.91
