trip_id,trip_date,started_at,rider_type,pass_type,bike_type,start_station_id,end_station_id,duration_min,distance_km,fare_usd,status
T1001,2026-04-01,07:22,member,monthly,classic,S05,S04,13,4.1,3.99,completed
T1002,2026-04-01,07:48,member,monthly,classic,S02,S10,19,5.7,4.86,completed
T1003,2026-04-01,08:05,member,monthly,ebike,S02,S05,11,4.1,5.0,completed
T1004,2026-04-01,10:20,visitor,day,classic,S03,S08,64,13.5,16.1,completed
T1005,2026-04-01,11:15,visitor,day,ebike,S08,S09,53,12.4,17.03,completed
T1006,2026-04-02,08:31,member,monthly,ebike,S06,S10,12,5.0,5.6,completed
T1007,2026-04-02,16:38,member,monthly,ebike,S04,S10,10,3.6,5.16,completed
T1008,2026-04-02,11:55,visitor,day,ebike,S07,S03,43,8.9,13.54,completed
T1009,2026-04-02,12:40,visitor,day,ebike,S09,S08,36,7.1,12.34,completed
T1010,2026-04-03,17:25,member,monthly,classic,S01,S05,18,4.5,4.4,completed
T1011,2026-04-03,18:02,member,monthly,classic,S01,S10,14,3.8,3.95,completed
T1012,2026-04-04,18:24,member,monthly,classic,S02,S05,16,4.7,4.62,completed
T1013,2026-04-04,09:08,member,monthly,classic,S02,S05,10,3.4,3.72,completed
T1014,2026-04-04,13:25,visitor,day,classic,S09,S07,40,9.6,12.08,completed
T1015,2026-04-05,07:22,member,monthly,cargo,S02,S10,18,5.4,7.01,completed
T1016,2026-04-05,07:48,member,monthly,ebike,S02,S05,14,5.2,5.55,completed
T1017,2026-04-05,14:05,visitor,single,ebike,S03,S09,63,13.3,17.77,completed
T1018,2026-04-05,14:50,visitor,single,ebike,S08,S09,35,7.3,12.77,completed
T1019,2026-04-06,08:05,member,monthly,classic,S04,S10,18,5.2,4.75,completed
T1020,2026-04-06,08:31,member,monthly,ebike,S04,S05,14,4.8,5.31,completed
T1021,2026-04-06,09:35,member,monthly,classic,S02,S05,0,0.0,0.0,cancelled
T1022,2026-04-07,16:38,member,monthly,ebike,S06,S10,15,5.4,5.54,completed
T1023,2026-04-07,17:25,member,monthly,ebike,S05,S10,10,3.4,4.71,completed
T1024,2026-04-07,15:35,visitor,day,classic,S07,S08,34,7.5,10.29,completed
T1025,2026-04-08,18:02,member,monthly,cargo,S04,S05,24,5.6,7.08,completed
T1026,2026-04-08,18:24,member,monthly,classic,S01,S04,17,4.9,4.67,completed
T1027,2026-04-08,10:20,visitor,single,ebike,S08,S03,36,8.2,13.37,completed
T1028,2026-04-08,11:15,visitor,day,ebike,S03,S07,49,11.6,16.03,completed
T1029,2026-04-09,09:08,member,monthly,classic,S02,S05,14,3.8,3.93,completed
T1030,2026-04-09,07:22,member,monthly,ebike,S05,S04,17,5.5,5.66,completed
T1031,2026-04-09,07:48,member,monthly,ebike,S01,S04,9,3.7,4.98,completed
T1032,2026-04-09,11:55,visitor,single,ebike,S03,S09,53,12.6,17.48,completed
T1033,2026-04-10,08:05,member,monthly,classic,S05,S02,19,5.1,4.44,completed
T1034,2026-04-10,08:31,member,monthly,classic,S05,S02,15,4.4,4.21,completed
T1035,2026-04-10,06:10,member,monthly,cargo,S04,S10,0,0.0,0.0,maintenance
T1036,2026-04-10,12:40,visitor,single,classic,S08,S03,36,7.1,10.2,completed
T1037,2026-04-11,16:38,member,monthly,classic,S04,S02,14,4.6,4.22,completed
T1038,2026-04-11,17:25,member,monthly,classic,S01,S02,14,4.5,4.3,completed
T1039,2026-04-11,13:25,visitor,day,ebike,S08,S07,30,6.6,12.21,completed
T1040,2026-04-11,14:05,visitor,day,ebike,S09,S08,64,13.3,18.04,completed
T1041,2026-04-12,18:02,member,monthly,classic,S06,S10,16,4.0,4.16,completed
T1042,2026-04-12,18:24,member,monthly,classic,S01,S10,12,4.0,4.12,completed
T1043,2026-04-12,09:08,member,monthly,classic,S01,S10,18,5.7,4.72,completed
T1044,2026-04-12,14:50,visitor,single,ebike,S07,S09,56,12.6,17.74,completed
T1045,2026-04-13,07:22,member,monthly,classic,S06,S10,10,3.3,3.9,completed
T1046,2026-04-13,07:48,member,monthly,classic,S01,S05,18,5.6,4.89,completed
T1047,2026-04-14,08:05,member,monthly,classic,S01,S02,13,3.5,3.9,completed
T1048,2026-04-14,08:31,member,monthly,classic,S05,S10,17,4.8,4.31,completed
T1049,2026-04-14,15:35,visitor,day,ebike,S03,S07,43,8.5,13.91,completed
